nama,reviews,rating
takembali photo,,5 bintang
Juan Nita,Lupa,5 bintang
Ibnu 5061,Ada musik live👍,5 bintang
Inry Amsal,,5 bintang
Alit CeKa,Tempat yang nyaman..,5 bintang
Hamka Didit Ardiansyah,,5 bintang
muh. qadar Khaliq ramadhan,,5 bintang
Nur Jannah,,5 bintang
Rooschanty Robinson,,5 bintang
Surya H,,5 bintang
Wicaksono Prasetyo,,5 bintang
Ina Rusli,Pelayanannya sempurna!! 👍🏻 …,5 bintang
RUDY_MALINOMKS MANURUNG,,5 bintang
Ina Rusli,Pelayanannya sempurna!! 👍🏻,5 bintang
Dhanyswara Ainnaya,,5 bintang
onkel johns,,5 bintang
Ria Atmaranti Kusuma,,5 bintang
Théo Savary,,5 bintang
livforki xx,,5 bintang
Raihan Andrisa,,5 bintang
Meilinda Lionardo,,5 bintang
Esmatullah Haidari,,5 bintang
Erik Angriawan,,5 bintang
Abay nugraha Official,,5 bintang
Mohammad Hasan Fauzi,,5 bintang
Jo Lie,,5 bintang
Yoga Barong Putri,,5 bintang
ASFAT AZIS,,5 bintang
YtBrodo,,5 bintang
Iqos Cafe Agung,,5 bintang
Redmi2022 Note11,,5 bintang
Koen ter Velde,,5 bintang
Yudistira Ramadhani,,5 bintang
andreas prasetyo,,4 bintang
Turee RN,,5 bintang
Afriyanti Yanti,,5 bintang
Adventus Siagian,,5 bintang
Wempy Darhamsa,,5 bintang
noviar mamala,,5 bintang
Milha Patta,,5 bintang
Irone Natsier,,5 bintang
ilham haris,,5 bintang
Samsul Arifin,,5 bintang
chandra storing makassar Storing makassar,,5 bintang
Aditya Yuda K. Putra,,5 bintang
KF,,4 bintang
Azis Djarre,,5 bintang
Andi Ismail Arfah,,5 bintang
Ricky Rudiana,,5 bintang
HERMAN,,4 bintang
Rifki Satria,,5 bintang
Muh. Farid Kasim,,5 bintang
Daud Reza,,4 bintang
SUSAN WIJAYA,,5 bintang
Merry Mursalim,,5 bintang
Marlia Kamaruddin,,5 bintang
Andi Rafli Wahyudin,,5 bintang
Amos Peddha,,4 bintang
Muh Asrul,,5 bintang
"Rahis P. Pratama, SH.,MH",,5 bintang
Ary Prasetyo,,3 bintang
Agone Addy,,5 bintang
Risandy Mulyadi,,5 bintang
Benhard Tuwonaung,,5 bintang
Diana Jonas,,5 bintang
Zulfikar As,,5 bintang
Danu,,4 bintang
indra ispujianto,,5 bintang
arifin full,,5 bintang
Aloysius Christian,,5 bintang
ATHOL BASS,,5 bintang
Suzy Kandani,,3 bintang
Fida Sulystiani,,5 bintang
ffajrin karim,,5 bintang
haris bayu,,5 bintang
erisoya Jrm,,5 bintang
